id,review_text
0,"Ярко чувствуется мох, бергамот и ананас. Свежий и шлейфовый аромат. Мне кажется, что подойдет для любого времени года и суток."
1,Любимый аромат хоть и дорогой но она стоит того запал просто бомба нравиться не то слово на повседневного ношения звучит дорого Всем советую
2,"Это такой парфюм, который сразу заявляет о себе. Он свежий, но при этом очень мужественный и дорогой. Он не кричащий, но точно привлекает внимание. Идеален для тех, кто хочет чувствовать себя уверенно и производить впечатление."
3,"Это тот самый король с дымными приятными ананасами, первое время его хочет ощущать снова и снова однозначно 5 звезд"
4,"Красивый статусный аромат. Классика , мужу зашёл, подойдёт и летом и зимой. Можно брать смело, думаю понравится многим."
5,"Спасибо огромное, пришло быстро и хорошо упаковано! Оригинал рекомендую к покупке! Буду заказывать, ещё уже накидала в корзину)) 👍🔥"
6,"Aventus - наконец-то потестил легенду! 🔥 Старт сочный: ананас, бергамот, чуть дыма. Потом уходит в благородную древесину с мускусным шлейфом. Не банальный ""свежак"", а аромат с характером - уверенный, но не душит. Стойкость на высоте: 6-7 часов на коже, на одежде до вечера. Шлейф ловят - пару раз спрашивали. Для знакомства с нишей - идеально. Полный флакон пока дороговат, но отлив точно стоит своих денег. Советую!"
7,"Шикарный аромат: баланс фруктов и дымка. Стойкий, шлейф заметный. Однозначно стоит своих денег, Буду брать ещё"
8,"Легендарный парфюм, которым я горд. Запах мощный, сбалансированный, с отчетливыми нотами бергамота, ананаса и дубового мха. Создает вокруг ауру успеха и уверенности. Незаменим для деловых встреч и значимых мероприятий. Настоящая инвестиция в имидж успешного мужчины."
9,"Ну что сказать. Это Авентус. Для меня флакон дороговат, поэтому беру отливант. И уже во второй раз. Часто хочется им просто облиться. Но это уже перебор. Настолько он крут для меня."
10,"Отличный аромат подходит ко всему!!! Приятно пахнет, очень стойкий, оставляет приятный шлейф, приятно носить!!!!"
11,"Ну это шедевр, обожаю! Страстный, манкий, нежный! Собирает кучу комплиментов! Сейчас будет его время! Очень соблазнительный аромат и нравится мужчинам"
12,"Это лучшие духи, что были в моей жизни, каждый день получаю комплименты. Чувствую себя очень сексуальной и привлекательной"
13,"Я в восторге 😍 мне очень нравится 😍🤟Открытие года! Весеннее настроение, запах стойкий 👍Лёгкость ,свежесть ,аромат 🔥"
14,"заказала на подарок подруге, нереально классный аромат, женственный, стойкий, шлейфовый, рекомендую к покупке"
15,"Аромат топчик, за свои деньги совсем замечательно, привлекает всех вокруг, очень нравится и жене и детям"
16,"Изысканный аромат, раскрываются нотки постепенно, влюбилась с первого вздоха. Просто потрясающий аромат"
17,"Я в восторге от аромата! на мне держится очень долго, супер шлейфовый! схожу с ума от него! Буду брать еще."
18,"Беру не первый раз. Киллиан это конечно, вышка в парфюмерии. Стойкий и очень красивый аромат. Очень нравится."
19,"Мне понравился! Сушёные абрикосы, держится долго, шлейф хороший, ну очень нравится! Сладкий вкусный , но очень сухой абрикос!"
20,Крышесносный! Впервые услышана этот аромат у гостей сидящих за соседним столиком в ресторане. И поняла что влюбилась в него!
21,"Обожаемый роскошный аромат в стиле Ганимеда, но нежный и вкусный, а не тошнотворный. Буду брать большой флакон"
22,"Получила миниатюрку этого аромата, давно уже хотела познакомиться с ним и не прогадала, Gaba шикарный аромат, любовь с первого пшика. Буду заказывать ещё."
23,"Он прекрасен, это полный восторг!! Приобрела по отзывам и не пожалела. Все оперативно доставили ! Лёгкий, нежный, интересный"
24,"💖Аромат шикарный, превзошел все ожидания!!! Стойкий, не навязчивый! Упаковка как всегда идеальна. Спасибо за возможность попробовать аромат без переплат)"
25,Давно хотела заказать этот аромат и я прям влюбилась в него с первого пшика🥰 Хочу теперь полноценный флакон🥰
26,"This Is Not GABA оставляет ощущение загадочности и тонкой утончённости. Аромат необычный, с интересным сочетанием свежих и тёплых нот, будто раскрывается постепенно, каждый раз показывая что-то новое. Он лёгкий, но в то же время притягательный, создаёт атмосферу уверенности и индивидуальности. Отлично подойдёт тем, кто любит необычные и запоминающиеся ароматы."
27,"Это просто🔥не зря сейчас это хит,не ожидала,что так понравится этот аромат,он не похож ни на что,действительно как дорогой глянцевый журнал,фруктовая нота звучит очень необычно и притягательно,однозначно повторю снова и снова"
28,"Изумительные, красивущие, стойкие духи! Парфюм просто бомба! Не могу описывать, но для меня это - шедевр! Я хочу его во флаконе и на долго! Спасибо!"
29,"Стал один из самых любимых ароматов, в офис идеально! Спасибо рандеву, буду заказывать еще. Аромат очень шлейфовый, сотни комплиментов."
30,"Покупала своему мужчине и не прогадала! Отличный, оооочень вкусный аромат.. Напоминает горячий пирог с карамельными яблоками, просто вау!"
31,"Kilian Angel's Share - интересный и, конечно, очень хайповый аромат - и в данном случае хайп оправдан. Восточный гурманский с цветочно-древесным оттенком, вкусный, яркий, богатый, но для меня - достаточно неоднозначный. Старт лёгкий и воздушный, с яркой цветочностью гедиона, к которой тут же добавляются коньяк и корица. Довольно быстро аромат теплеет и густеет: появляется древесность (дуб, сандал), усиливаются бобы тонка и ваниль. И вся композиция превращается в яблочную шарлотку с корицей, в которую щедро плеснули коньяка - ванильно-древесную, сладкую, с лёгким алкогольно-цветочным ореолом. В базе остаётся чистая гурманика: ваниль, пралине, мягкое дерево. Стойкость отличная - до 12 часов на моей коже. Шлейф заметный - от вытянутой руки до 2 метров. При всей изящности композиции для меня аромат смещён в женскую сторону: яркая цветочность и мягкая сладость делают его скорее про уют и чувственность, чем про характер и мужественность. В него хочется завернуться как в мягкий теплый плед - это аромат легкости, уюта и расслабления. И в этом для меня вся неоднозначность: как произведение искусства и как аромат настроения это прекрасно - как аромат на выход - только в исключительных случаях, в прохладный зимний или осенний вечер, на свидание, и под особое настроение. Моя оценка - 9 из 10."
32,"Любименький мой. Офлаконила конечно же. Осенью и зимой без него теперь просто не могу. Теплый, уютный аромат. Виски, яблочный пирог"
33,"Очень яркий, восточный, комплиментарный! Взяла пробник, очень понравился аромат. Думаю о покупке большего объема"
34,"Ну что тут говорить....это роскошь! Любовь любовная. Два раза покупала отливанты, думала наиграюсь, но нет. Офлаконила. Это роскошь, уют и комфорт во флаконе! Виски и яблочный пирог."
35,"Обожаю этот аромат, готов обливаться им всегда, лично мне чувствуются яблоко и корица с небольшой коньячной нотой, что прям идеально для вечерних выходов или повседневной носке, но на осень или раннюю весну. Приятный, в меру сладкий, я бы сказал, что он идеальный."
36,"Много слышал про него и все оказалось не зря. Очень вкусный парфюм. Теплый обволакивающий мед с корицей. Не парфюм, а уютный вечер под пледом возле камина"
37,"Любимый аромат для особого настроения. Аналогов ему много среди арабского парфюма, но не один не даёт такую лёгкость и переливчивость нот. искристый, пряный, алгогольный. Для меня замены ему нет."
38,"Стойкость запредельно, насыщенный яркий аромат. Очень красивый , в зиму прям бомба. Шлейфовый, очень понравился."
39,"Запах невероятно притягательный! Тяжелый,но одновременно женственный аромат ! Неоднократно буду приобретать данный парфюм!"
40,"Очень сладкий аромат, . Потрясающая стойкость, на моей холодной коже часов 10. Шлейфит очень хорошо."
41,"Очень милый запах, казалось по нотам, что тут только зефирки, но нет, аромат интересный, очень подойдет в зимнее время"
42,"Взяла 100 мл, с дочкой на двоих, игристый, сладкий, легкий аромат. Не надоедает, хочется им обливаться."
43,"Прекрасный женственный аромат! Очень комплиментарный, приятный матовый флакон. Мягкое и пушистое облачко сахарной ваты, зефира и легкий цитрусовый аккорд. Стойкий и шлейфовый."
44,"Приятный, легкий, сладкий аромат ) подойдет на любое время года , и на каждый день будет отлично !))"
45,"Очень женственный, нежный аромат! Слышу в данном аромате сладость маршмеллоу, пудровые ноты вместе с амброксаном. Стойкий и шлейфовый."
46,"Понравился этот аромат. Пудровый, нежный, женственный. На весну идеально. Не душит и при этом довольно стойкий."
47,"я в восторге от этого аромата, он сладкий, нежный, не приторный, я слышу в нем какую то нотку дерзости, может быть это цитрус, ооочень вкусный и обалденный аромат"
48,"Отличный аромат очень нежный, обволакивающий. Доставка быстрая, упаковано хорошо. Сам отливант выглядит очень потрясающе"
49,"Это такой девчачий вкусный аромат, сладкая розовая вата. Мне очень понравился, взяла пока 8 мл, что бы носить его в сумке в розовом кофре и пользоваться им для настроения."
50,"Неизменная классика, приятный аромат, миниатюра - возможность выбрать из множества то, что больше подходит"
51,оригинал. шлейф потрясающий. стойкий. цена радует. очень рекомендую покупать . доставка быстрая. упаковка отличная
52,Очень нравится всё что делает Byredo. Конкретно этот аромат лёгкий и ненавязчивый но притягательный.
53,"Это действительно любовь с первого вдоха! Нежный кремовый аромат с цветочным и цитрусовыми нотами. Ни к чему не обязывает, хорош на каждый день"
54,"Самая любимый, всегда есть в коллекции. Запоминающийся и неповторимый. Моя любовь уже долгие годы стойкость очень хорошая. Его не спутаешь не с каким ароматом. Он уникальный"
55,"Обожаю этот аромат! И в пир и в мир, очень универсальный. Для меня это кремовые свежие сладкие цитрусы с цветами на мягкой древесной базе"
56,"Свежий, женский, девичий, немного сладкий, теплый, почти весенний.. очень его люблю. Особенно на волосах ✨"
57,"Невероятно красивый и комплиментарный аромат ✨ Сочетание свежести, лёгкой сладости и тёплой древесной базы звучит очень гармонично. Есть ощущение солнца, тепла и лёгкой экзотики. Универсальный - подходит и днём, и вечером. Один из тех ароматов, к которым хочется возвращаться."
58,"Мои самые любимые духи. Беру их постоянно, никогда не надоедают мне. Пользуюсь им в любое время года"
59,"Аромат очень понравился, запах свежести , не принужденный , хорошо на любое время года.возьму в большем обьеме"
60,Santal 33 от Le Labo для меня это культовая древесина с дымком С первых пшиков бьет сухой сандал с кожей и кардамоном будто сидишь у костра в кожаной куртке Потом добавляется ирис фиалка и легкая папирусовая бумага все становится кремовым и пудровым В базе остается теплый сандал с ветивером и амброй без сладости но с характерной дымностью
61,"Начала с осторожных полутора миллилитров. С первого распыления этот аромат стал моим фаворитом. Это самый красивый древесный парфюм. В день бренда заказала себе восьмёрку, а надо было брать флакон."
62,"Прекрасный унисекс аромат. Я отношу такие к разряду чернильные. Стойкость шикарная, более 7 часов на коже. Очень нравится на муже"
63,"отличный выбор для тех, кто ценит стильные и оригинальные ароматы. Он раскрывается тёплым, древесно-пряным звучанием, звучит очень многогранно и богато. Стойкость на высоком уровне, шлейф заметный, но не навязчивый, аромат держится на коже и одежде долго. Отлично подходит как для повседневной носки, так и для особенных моментов."
64,"Какая же вкуснятина этот сантал. Действительно, парфюм который угадаешь из сотни. Визитная карточка бренда, которую обязательно надо затестить. Спасибо randewoo за возможность взять пробник и познакомиться с ароматом. P.S. Очень хочется повторить этот опыт летом в обьеме побольше"
