id,review_text,cleaned_text
0,"Ярко чувствуется мох, бергамот и ананас. Свежий и шлейфовый аромат. Мне кажется, что подойдет для любого времени года и суток.",ярко чувствуется мох бергамот ананас свежий шлейфовый аромат подойдет времени года суток
1,Любимый аромат хоть и дорогой но она стоит того запал просто бомба нравиться не то слово на повседневного ношения звучит дорого Всем советую,любимый аромат дорогой стоит запал бомба нравиться слово повседневного ношения звучит дорого советую
2,"Это такой парфюм, который сразу заявляет о себе. Он свежий, но при этом очень мужественный и дорогой. Он не кричащий, но точно привлекает внимание. Идеален для тех, кто хочет чувствовать себя уверенно и производить впечатление.",парфюм заявляет свежий мужественный дорогой кричащий привлекает внимание идеален хочет чувствовать уверенно производить впечатление
3,"Это тот самый король с дымными приятными ананасами, первое время его хочет ощущать снова и снова однозначно 5 звезд",король дымными приятными ананасами первое время хочет ощущать однозначно 5 звезд
4,"Красивый статусный аромат. Классика , мужу зашёл, подойдёт и летом и зимой. Можно брать смело, думаю понравится многим.",красивый статусный аромат классика мужу зашёл подойдёт летом зимой брать смело думаю понравится многим
5,"Спасибо огромное, пришло быстро и хорошо упаковано! Оригинал рекомендую к покупке! Буду заказывать, ещё уже накидала в корзину)) 👍🔥",спасибо огромное пришло быстро упаковано оригинал рекомендую покупке заказывать накидала корзину 👍 🔥
6,"Aventus - наконец-то потестил легенду! 🔥 Старт сочный: ананас, бергамот, чуть дыма. Потом уходит в благородную древесину с мускусным шлейфом. Не банальный ""свежак"", а аромат с характером - уверенный, но не душит. Стойкость на высоте: 6-7 часов на коже, на одежде до вечера. Шлейф ловят - пару раз спрашивали. Для знакомства с нишей - идеально. Полный флакон пока дороговат, но отлив точно стоит своих денег. Советую!",aventus потестил легенду 🔥 старт сочный ананас бергамот дыма уходит благородную древесину мускусным шлейфом банальный свежак аромат характером уверенный душит стойкость высоте 6 7 часов коже одежде вечера шлейф ловят пару раз спрашивали знакомства нишей идеально полный флакон дороговат отлив стоит денег советую
7,"Шикарный аромат: баланс фруктов и дымка. Стойкий, шлейф заметный. Однозначно стоит своих денег, Буду брать ещё",шикарный аромат баланс фруктов дымка стойкий шлейф заметный однозначно стоит денег брать
8,"Легендарный парфюм, которым я горд. Запах мощный, сбалансированный, с отчетливыми нотами бергамота, ананаса и дубового мха. Создает вокруг ауру успеха и уверенности. Незаменим для деловых встреч и значимых мероприятий. Настоящая инвестиция в имидж успешного мужчины.",легендарный парфюм горд запах мощный сбалансированный отчетливыми нотами бергамота ананаса дубового мха создает ауру успеха уверенности незаменим деловых встреч значимых мероприятий инвестиция имидж успешного мужчины
9,"Ну что сказать. Это Авентус. Для меня флакон дороговат, поэтому беру отливант. И уже во второй раз. Часто хочется им просто облиться. Но это уже перебор. Настолько он крут для меня.",сказать авентус флакон дороговат беру отливант второй раз хочется облиться перебор настолько крут
10,"Отличный аромат подходит ко всему!!! Приятно пахнет, очень стойкий, оставляет приятный шлейф, приятно носить!!!!",отличный аромат подходит приятно пахнет стойкий оставляет приятный шлейф приятно носить
11,"Ну это шедевр, обожаю! Страстный, манкий, нежный! Собирает кучу комплиментов! Сейчас будет его время! Очень соблазнительный аромат и нравится мужчинам",шедевр обожаю страстный манкий нежный собирает кучу комплиментов время соблазнительный аромат нравится мужчинам
12,"Это лучшие духи, что были в моей жизни, каждый день получаю комплименты. Чувствую себя очень сексуальной и привлекательной",лучшие духи жизни день получаю комплименты чувствую сексуальной привлекательной
13,"Я в восторге 😍 мне очень нравится 😍🤟Открытие года! Весеннее настроение, запах стойкий 👍Лёгкость ,свежесть ,аромат 🔥",восторге 😍 нравится 😍 🤟 открытие года весеннее настроение запах стойкий 👍 лёгкость свежесть аромат 🔥
14,"заказала на подарок подруге, нереально классный аромат, женственный, стойкий, шлейфовый, рекомендую к покупке",заказала подарок подруге нереально классный аромат женственный стойкий шлейфовый рекомендую покупке
15,"Аромат топчик, за свои деньги совсем замечательно, привлекает всех вокруг, очень нравится и жене и детям",аромат топчик деньги замечательно привлекает нравится жене детям
16,"Изысканный аромат, раскрываются нотки постепенно, влюбилась с первого вздоха. Просто потрясающий аромат",изысканный аромат раскрываются нотки постепенно влюбилась первого вздоха потрясающий аромат
17,"Я в восторге от аромата! на мне держится очень долго, супер шлейфовый! схожу с ума от него! Буду брать еще.",восторге аромата держится супер шлейфовый схожу ума брать
18,"Беру не первый раз. Киллиан это конечно, вышка в парфюмерии. Стойкий и очень красивый аромат. Очень нравится.",беру первый раз киллиан вышка парфюмерии стойкий красивый аромат нравится
19,"Мне понравился! Сушёные абрикосы, держится долго, шлейф хороший, ну очень нравится! Сладкий вкусный , но очень сухой абрикос!",понравился сушёные абрикосы держится шлейф хороший нравится сладкий вкусный сухой абрикос
20,Крышесносный! Впервые услышана этот аромат у гостей сидящих за соседним столиком в ресторане. И поняла что влюбилась в него!,крышесносный впервые услышана аромат гостей сидящих соседним столиком ресторане поняла влюбилась
21,"Обожаемый роскошный аромат в стиле Ганимеда, но нежный и вкусный, а не тошнотворный. Буду брать большой флакон",обожаемый роскошный аромат стиле ганимеда нежный вкусный тошнотворный брать большой флакон
22,"Получила миниатюрку этого аромата, давно уже хотела познакомиться с ним и не прогадала, Gaba шикарный аромат, любовь с первого пшика. Буду заказывать ещё.",получила миниатюрку аромата познакомиться прогадала gaba шикарный аромат любовь первого пшика заказывать
23,"Он прекрасен, это полный восторг!! Приобрела по отзывам и не пожалела. Все оперативно доставили ! Лёгкий, нежный, интересный",прекрасен полный восторг приобрела отзывам пожалела оперативно доставили лёгкий нежный интересный
24,"💖Аромат шикарный, превзошел все ожидания!!! Стойкий, не навязчивый! Упаковка как всегда идеальна. Спасибо за возможность попробовать аромат без переплат)",💖 аромат шикарный превзошел ожидания стойкий навязчивый упаковка идеальна спасибо возможность попробовать аромат переплат
25,Давно хотела заказать этот аромат и я прям влюбилась в него с первого пшика🥰 Хочу теперь полноценный флакон🥰,заказать аромат влюбилась первого пшика 🥰 полноценный флакон 🥰
26,"This Is Not GABA оставляет ощущение загадочности и тонкой утончённости. Аромат необычный, с интересным сочетанием свежих и тёплых нот, будто раскрывается постепенно, каждый раз показывая что-то новое. Он лёгкий, но в то же время притягательный, создаёт атмосферу уверенности и индивидуальности. Отлично подойдёт тем, кто любит необычные и запоминающиеся ароматы.",this is not gaba оставляет ощущение загадочности тонкой утончённости аромат необычный интересным сочетанием свежих тёплых нот раскрывается постепенно раз показывая новое лёгкий время притягательный создаёт атмосферу уверенности индивидуальности отлично подойдёт любит необычные запоминающиеся ароматы
27,"Это просто🔥не зря сейчас это хит,не ожидала,что так понравится этот аромат,он не похож ни на что,действительно как дорогой глянцевый журнал,фруктовая нота звучит очень необычно и притягательно,однозначно повторю снова и снова",🔥 хит ожидала понравится аромат похож ни дорогой глянцевый журнал фруктовая нота звучит необычно притягательно однозначно повторю
28,"Изумительные, красивущие, стойкие духи! Парфюм просто бомба! Не могу описывать, но для меня это - шедевр! Я хочу его во флаконе и на долго! Спасибо!",изумительные красивущие стойкие духи парфюм бомба описывать шедевр флаконе спасибо
29,"Стал один из самых любимых ароматов, в офис идеально! Спасибо рандеву, буду заказывать еще. Аромат очень шлейфовый, сотни комплиментов.",любимых ароматов офис идеально спасибо рандеву заказывать аромат шлейфовый сотни комплиментов
30,"Покупала своему мужчине и не прогадала! Отличный, оооочень вкусный аромат.. Напоминает горячий пирог с карамельными яблоками, просто вау!",покупала мужчине прогадала отличный оооочень вкусный аромат напоминает горячий пирог карамельными яблоками вау
